Smiles,EC50 (nM),values
O=C(NCCCCc1cc(Cl)c(CN2CSC[C@H]2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl)NC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,31.62,1.0
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,14000.0,0.0
C=C[C@]1(O)C[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CC#N)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@H]21,2260.0,0.0
COC(=O)CCc1nc(SCc2c(F)cccc2F)n(-c2ccc(F)cc2)c1N(C)c1ccc(OC)c(OC)c1,1113.0,0.0
COc1ccc(N(C)c2cnc(SCc3c(F)cccc3F)n2-c2ccc(F)cc2)cc1,1106.0,0.0
COc1ccc(N(C)c2cnc(SCc3ccccc3F)n2-c2ccc(F)cc2)cc1OC,12.0,1.0
C[C@H](CC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,47200.0,0.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](C)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C,6180.0,0.0
CC(C)(C)c1ccc(C(=O)NCc2ccc(NS(C)(=O)=O)cc2Cl)cc1,20.4,1.0
CCNc1nc2c(c(C(N)=O)n1)CN(C(=O)CCc1ccc(C(C)(F)F)nc1)CC2,3200.0,0.0
C=C(C)[C@@H]1CC[C@]2(C(N)=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,9900.0,0.0
N#Cc1ccc(CCNC(=O)[C@@H]2CCN2c2cc(-c3ccc([C@H]4CC[C@H](C(=O)O)CC4)cc3)nc(C(F)(F)F)n2)cc1,1.0,1.0
O=C(CCc1cc(Cl)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl)NCCOCCOCCOCCNC(=O)CCc1cc(Cl)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,14000.0,0.0
O=C(O)C/C=C/c1cc(Cl)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,405000.0,0.0
CCOC(=O)CCNC(=O)CCc1cc(Cl)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,12000.0,0.0
O=C(O)CCc1cc(Cl)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,35000.0,0.0
Cc1ccc(N(C)C(=O)c2c(-c3ccccc3Cl)noc2C)cc1Cl,31622.78,0.0
Cc1ccccc1[C@H](C/C(=N\O)c1ccc(=O)n(C)c1)c1ccc(S(C)(=O)=O)cc1,26.0,1.0
C[C@H](C[C@H](C)C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1050.0,0.0
N#Cc1ccc(CCNC(=O)[C@@H]2CCCN(c3cc(N4CCN(C5COC5)CC4)nc(C(F)(F)F)n3)C2)cc1,1.0,1.0
CN1CCN(c2cc(N3CC[C@H]3C(=O)NCCc3ccc(C#N)cc3)nc(C(F)(F)F)n2)CC1,4.0,1.0
N#Cc1ccc(CCNC(=O)[C@@H]2CCN2c2cc(N3CCC(Oc4ccc(C(=O)O)cc4)CC3)nc(C(F)(F)F)n2)cc1,18.0,1.0
CC1(C(=O)O)CCN(c2cc(N3CCC[C@@H](C(=O)NCCc4ccc(C#N)cc4)C3)nc(C(F)(F)F)n2)CC1,4.0,1.0
CCOC(=O)CNC(=O)c1coc2cc(Cl)c(C(=O)Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,1405.0,0.0
C[C@H](C[C@H](C)C(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,9130.0,0.0
Cc1ccccc1[C@@H](C/C(=N\O)c1ccc(=O)n(C)c1)c1ccc(S(C)(=O)=O)cc1,3000.0,0.0
Cc1ccccc1C(C/C(=N\O)c1ccc(=O)n(C)c1)c1ccc(Br)cc1,1420.0,0.0
Cc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccccc1F,2511.89,0.0
Cc1cccc(N(C)C(=O)c2c(-c3ccccc3Cl)noc2C)c1,1258.93,0.0
CC(=O)c1ccc(N(C)C(=O)c2c(-c3ccccc3Cl)noc2C)cc1,12589.25,0.0
Cc1ccccc1-c1noc(C)c1C(=O)N(C)c1ccc(Cl)cc1,12.59,1.0
Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1ccc(Cl)cc1,3162.28,0.0
Cc1coc2ccc(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,2.4,1.0
